Id,area_primeiro_andar,existe_segundo_andar,area_segundo_andar,quantidade_banheiros,capacidade_carros_garagem,qualidade_da_cozinha_Excelente,preco_de_venda
1,79.52239999999999,1,79.33659999999999,2,548,0,1027905.0
2,117.2398,0,0.0,2,460,0,894795.0
3,85.468,1,80.45139999999999,2,608,0,1101855.0
4,89.2769,1,70.2324,1,642,0,690200.0
5,106.3705,1,97.8237,2,836,0,1232500.0
6,73.94839999999999,1,52.5814,1,480,0,704990.0
7,157.3726,0,0.0,2,636,0,1513510.0
8,102.8403,1,91.3207,2,484,0,986000.0
9,94.9438,1,69.8608,2,468,0,640407.0
10,100.0533,0,0.0,1,205,0,581740.0
11,96.616,0,0.0,1,384,0,638435.0
12,109.8078,1,106.0918,3,736,1,1700850.0
13,84.7248,0,0.0,1,352,0,709920.0
14,138.7926,0,0.0,2,840,0,1377935.0
15,116.4037,0,0.0,1,352,0,774010.0
16,79.33659999999999,0,0.0,1,576,0,650760.0
17,93.2716,0,0.0,1,480,0,734570.0
18,120.3984,0,0.0,2,516,0,443700.0
19,103.4906,0,0.0,1,576,0,783870.0
20,124.3931,0,0.0,1,294,0,685270.0
21,107.5782,1,113.1522,3,853,0,1603729.0
22,102.9332,0,0.0,1,280,0,687242.0
23,166.75549999999998,0,0.0,2,534,0,1133900.0
24,98.474,0,0.0,1,572,0,640407.0
25,98.474,0,0.0,1,270,0,759220.0
26,148.64,0,0.0,2,890,0,1263559.0
27,83.61,0,0.0,1,576,0,664564.0
28,158.3016,0,0.0,2,772,0,1508580.0
29,148.64,0,0.0,1,319,0,1022975.0
30,48.308,0,0.0,1,240,0,337705.0
31,60.2921,1,62.0572,1,250,0,197200.0
32,114.0812,0,0.0,1,271,0,736295.5
33,114.6386,0,0.0,2,484,0,886907.0
34,157.93,0,0.0,1,447,0,815915.0
35,145.0169,0,0.0,2,556,1,1368075.0
36,105.1628,1,122.628,3,691,0,1523370.0
37,101.9113,0,0.0,1,672,0,714850.0
38,120.4913,0,0.0,1,498,0,754290.0
39,98.1953,0,0.0,1,246,0,537370.0
40,107.0208,0,0.0,2,0,0,404260.0
41,122.9996,0,0.0,2,440,0,788800.0
42,123.3712,0,0.0,1,308,0,838100.0
43,82.1236,0,0.0,1,504,0,709920.0
44,87.1402,0,0.0,1,308,0,642132.5
45,106.835,0,0.0,1,300,0,695130.0
46,162.7608,0,0.0,2,576,1,1577107.0
47,141.0222,1,58.6199,1,670,0,1181651.98
48,153.8424,0,0.0,2,826,0,1231021.0
49,68.3744,1,66.5164,2,0,0,557090.0
50,88.7195,0,0.0,1,386,0,626110.0
51,73.76259999999999,1,62.8004,2,388,0,872610.0
52,75.8064,0,0.0,1,528,0,564485.0
53,75.8064,0,0.0,1,516,0,542300.0
54,126.344,0,0.0,1,572,0,640900.0
55,132.3825,0,0.0,2,576,0,889865.0
56,91.3207,1,70.2324,2,480,0,850425.0
57,79.89399999999999,1,79.89399999999999,2,565,0,968745.0
58,132.4754,1,141.11509999999998,3,641,0,2163185.4
59,72.462,0,0.0,1,352,0,615757.0
60,107.5782,0,0.0,1,576,0,778940.0
61,53.9749,1,49.237,1,288,0,497930.0
62,127.273,0,0.0,2,484,0,998325.0
63,83.7958,1,75.0632,2,480,0,690200.0
64,98.1953,1,90.7633,2,645,0,1082135.0
65,106.1847,1,123.557,2,852,0,1562810.0
66,205.0303,0,0.0,2,576,0,887400.0
67,137.3991,0,0.0,2,558,0,1114180.0
68,69.3963,0,0.0,1,220,0,394400.0
69,121.1416,1,91.3207,2,667,0,1109250.0
70,206.5167,0,0.0,2,516,0,1202920.0
71,78.5005,0,0.0,1,360,0,638435.0
72,82.2165,1,77.3857,2,427,0,912050.0
73,100.8894,0,0.0,1,490,0,714357.0
74,78.036,1,71.0685,2,379,0,529482.0
75,48.8654,1,42.9198,1,297,0,448630.0
76,88.4408,0,0.0,1,283,0,669247.5
77,99.5888,1,19.7877,1,240,0,626110.0
78,164.2472,0,0.0,2,0,0,672945.0
79,63.3578,1,50.9092,1,440,0,542300.0
80,109.8078,1,89.184,2,509,0,953955.0
81,124.2073,0,0.0,2,405,0,756755.0
82,145.2027,0,0.0,2,758,0,1207850.0
83,98.9385,0,0.0,1,461,0,623645.0
84,74.6916,1,62.243,2,400,0,830705.0
85,120.8629,1,103.6764,2,462,0,1281800.0
86,63.5436,1,81.3804,2,400,0,857820.0
87,56.8548,1,56.8548,2,528,0,810985.0
88,94.1077,0,0.0,1,0,0,419050.0
89,91.971,0,0.0,1,0,0,609348.0
90,96.616,0,0.0,1,420,0,541807.0
91,114.7315,0,0.0,1,480,0,486098.0
92,89.5556,0,0.0,1,432,0,806055.0
93,117.054,1,95.7799,2,506,0,660127.0
94,84.0745,1,81.8449,2,684,0,1009417.5
95,63.172,1,73.39099999999999,2,420,0,912050.0
96,147.52519999999998,0,0.0,2,472,0,1055020.0
97,89.184,0,0.0,1,432,0,467117.5
98,77.5715,0,0.0,1,366,0,409190.0
99,113.8025,0,0.0,1,0,0,635723.5
100,149.569,0,0.0,2,480,0,1010650.0
...
